,grouptitle,MainM3U8ip,child_m3ips,.ts ips,status,ASN_m3u8,ASN_childm3,ASN_ts,HLS status,HOST_m3u8
* Fluxus.tv,"['""* Fluxus.tv > Play On!"",* Fluxus.tv']",[],['NONE'],[],Error,[],['NONE'],[],,
+ IPTV,"['""+ IPTV - Permanent Playlist"",+ IPTV']",[],['NONE'],[],Error,[],['NONE'],[],,
- Always Refresh!,"['""- Update: 06.24.2019"",- Always Refresh!']",[],['NONE'],[],Error,[],['NONE'],[],,
24-7 Retro TV,"['""USA"",24-7 Retro TV']",[],['NONE'],[],Error,[],['NONE'],[],,
30A Music,"['""USA"",30A Music']",['142.54.172.51'],['NONE'],"[['142.54.172.52'], ['142.54.172.52'], ['142.54.172.52']]",NONE,['AS33387'],['NONE'],"['AS33387', 'AS33387', 'AS33387']",no,cant reverse lookup
30A TV,"['""USA"",30A TV']",['142.54.172.51'],['NONE'],"[['142.54.172.52'], ['142.54.172.52'], ['142.54.172.52']]",NONE,['AS33387'],['NONE'],"['AS33387', 'AS33387', 'AS33387']",no,cant reverse lookup
ABC (KABC) (PST),"['""USA"",ABC (KABC) (PST)']",['54.67.36.14'],['NONE'],"[['192.229.210.181'], ['192.229.210.181'], ['192.229.210.181']]",NONE,['AS16509'],['NONE'],"['AS15133', 'AS15133', 'AS15133']",yes,"('ec2-54-67-36-14.us-west-1.compute.amazonaws.com', [], ['54.67.36.14'])"
ABC (WWSB) (EST),"['""USA"",ABC (WWSB) (EST)']",['104.16.60.230'],['NONE'],[],Error,['AS13335'],['NONE'],[],,cant reverse lookup
ABC News (HD),"['""USA"",ABC News (HD)']",['23.221.72.41'],['NONE'],"[['23.221.72.41'], ['23.221.72.41'], ['23.221.72.41']]",NONE,['AS20940'],['NONE'],"['AS20940', 'AS20940', 'AS20940']",no,"('a23-221-72-41.deploy.static.akamaitechnologies.com', [], ['23.221.72.41'])"
ABC News (SD),"['""USA"",ABC News (SD)']",['23.221.72.41'],{'23.221.72.41'},"[['23.221.72.41'], ['23.221.72.41'], ['23.221.72.41'], ['23.221.72.41'], ['23.221.72.41'], ['23.221.72.41'], ['23.221.72.41'], ['23.221.72.41'], ['23.221.72.41'], ['23.221.72.41']]",NONE,['AS20940'],['AS20940'],"['AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940']",no,"('a23-221-72-41.deploy.static.akamaitechnologies.com', [], ['23.221.72.41'])"
AKC TV,"['""USA"",AKC TV']",['99.84.104.65'],['NONE'],"[['99.84.104.4', '99.84.104.65'], ['99.84.104.4', '99.84.104.65'], ['99.84.104.4', '99.84.104.65']]",NONE,['AS16509'],['NONE'],"['AS16509', 'AS16509', 'AS16509']",no,"('server-99-84-104-65.iad79.r.cloudfront.net', [], ['99.84.104.65'])"
Action Sports 4U,"['""USA"",Action Sports 4U']",['159.65.251.40'],['NONE'],[],Error,['AS14061'],['NONE'],[],,cant reverse lookup
Adventure Sports Network,"['""USA"",Adventure Sports Network']",['192.229.163.69'],['NONE'],"[['192.229.163.69', '93.184.215.178', '130.211.30.27'], ['192.229.163.69', '93.184.215.178', '130.211.30.27'], ['192.229.163.69', '93.184.215.178', '130.211.30.27']]",NONE,['AS15133'],['NONE'],"['AS15133', 'AS15133', 'AS15133']",no,cant reverse lookup
Al Jazeera English (Opt-1) (QA),"['""24/7 WORLD NEWS"",Al Jazeera English (Opt-1) (QA)']",['8.253.131.121'],{'8.253.131.121'},"[['8.253.131.121'], ['8.253.131.121'], ['8.253.131.121'], ['8.253.131.121'], ['8.253.131.121'], ['8.253.131.121']]",NONE,['AS3356'],['AS3356'],"['AS3356', 'AS3356', 'AS3356', 'AS3356', 'AS3356', 'AS3356']",no,cant reverse lookup
Al Jazeera English (Opt-2) (QA),"['""24/7 WORLD NEWS"",Al Jazeera English (Opt-2) (QA)']",['92.43.140.249'],{'92.43.140.249'},"[['92.43.140.249'], ['92.43.140.249'], ['92.43.140.249']]",NONE,['AS44395'],['AS44395'],"['AS44395', 'AS44395', 'AS44395']",no,"('host-249.140.43.92.ucom.am', [], ['92.43.140.249'])"
